playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
workmga01,2025,1,CHN,NL,9,14,0,3,1,0,0,2,1,0,1,6,0,0,0,0,0
workmga01,2025,2,CHA,AL,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
wrighky01,2023,1,ATL,NL,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wroblju01,2024,1,LAN,NL,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wroblju01,2025,1,LAN,NL,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wynnera01,2023,1,CIN,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wynnera01,2025,1,CIN,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wynnsau01,2023,1,SFN,NL,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
wynnsau01,2023,2,LAN,NL,5,11,0,2,1,0,0,2,0,0,1,5,0,0,0,0,0
wynnsau01,2023,3,COL,NL,45,117,11,25,5,0,1,8,1,0,8,32,0,2,3,1,4
wynnsau01,2024,1,CIN,NL,7,19,3,7,4,0,0,2,0,0,0,5,0,1,0,0,0
wynnsau01,2025,1,CIN,NL,18,40,6,16,3,0,3,11,0,0,3,12,0,0,0,0,1
wynnsau01,2025,2,ATH,AL,22,63,7,14,5,0,3,10,0,0,2,20,0,0,1,1,2
yacabji01,2023,1,NYN,NL,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yamamyo01,2024,1,LAN,NL,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yamamyo01,2025,1,LAN,NL,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yanger01,2024,1,CIN,NL,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
yarbrry01,2023,1,KCA,AL,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yarbrry01,2023,2,LAN,NL,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yarbrry01,2024,1,LAN,NL,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
